"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MT000016597","LUQA, MT","2015-07-13","0.00","80","92","71"
"MT000016597","LUQA, MT","2015-07-14","0.00","80","90","73"
"MT000016597","LUQA, MT","2015-07-15","0.00","82","91","71"
"MT000016597","LUQA, MT","2015-07-16","0.00","82","91",
"MT000016597","LUQA, MT","2015-07-17","0.00","81","90","73"
"MT000016597","LUQA, MT","2015-07-18","0.00","84","96","75"
"MT000016597","LUQA, MT","2015-07-19","0.00","87","97",
"MT000016597","LUQA, MT","2015-07-20","0.00","87","96","77"
"MT000016597","LUQA, MT","2015-07-21","0.00","88","100","78"
"MT000016597","LUQA, MT","2015-07-22","0.00","85","95","77"
"MT000016597","LUQA, MT","2015-07-23","0.00","83","94","75"
"MT000016597","LUQA, MT","2015-07-24",,"82","92",
"MT000016597","LUQA, MT","2015-07-25",,"81","90",
"MT000016597","LUQA, MT","2015-07-26","0.00","83","93","78"
"MT000016597","LUQA, MT","2015-07-27","0.00","81","91",
"MT000016597","LUQA, MT","2015-07-28","0.00","83","96","75"
"MT000016597","LUQA, MT","2015-07-29","0.00","84","94",
"MT000016597","LUQA, MT","2015-07-30","0.00","84","94","75"
"MT000016597","LUQA, MT","2015-07-31","0.00","89","101","76"
"MT000016597","LUQA, MT","2015-08-01","0.00","87","98","80"
"MT000016597","LUQA, MT","2015-08-02","0.00","86","96",
"MT000016597","LUQA, MT","2015-08-03","0.00","84","91",
"MT000016597","LUQA, MT","2015-08-04","0.00","84","91","77"
"MT000016597","LUQA, MT","2015-08-05","0.00","84","92","76"
"MT000016597","LUQA, MT","2015-08-06","0.00","84","92","77"
"MT000016597","LUQA, MT","2015-08-07","0.00","84","92",
"MT000016597","LUQA, MT","2015-08-08","0.00","82","90","67"
"MT000016597","LUQA, MT","2015-08-09","0.83","82","89","76"
"MT000016597","LUQA, MT","2015-08-10","0.00","80","90","75"
"MT000016597","LUQA, MT","2015-08-11","0.04","79","85","74"
"MT000016597","LUQA, MT","2015-08-12","0.19","79","85","71"
"MT000016597","LUQA, MT","2015-08-13","0.22","80","87","75"
"MT000016597","LUQA, MT","2015-08-14","0.01","83","91","78"
"MT000016597","LUQA, MT","2015-08-15","0.00","83","92",
"MT000016597","LUQA, MT","2015-08-16","0.00","78","86","71"
"MT000016597","LUQA, MT","2015-08-17","0.11","78","87",
"MT000016597","LUQA, MT","2015-08-18","0.00","79","88","71"
"MT000016597","LUQA, MT","2015-08-19","0.00","82","90","75"
"MT000016597","LUQA, MT","2015-08-20","0.00","80","89",
"MT000016597","LUQA, MT","2015-08-21","0.00","78","86",
"MT000016597","LUQA, MT","2015-08-22","0.00","79","87","71"
"MT000016597","LUQA, MT","2015-08-23","0.00","78","86","69"
"MT000016597","LUQA, MT","2015-08-24","0.00","79","86","72"
"MT000016597","LUQA, MT","2015-08-25","0.00","80","88","72"
"MT000016597","LUQA, MT","2015-08-26","0.00","81","90",
"MT000016597","LUQA, MT","2015-08-27","0.00","81","88",
"MT000016597","LUQA, MT","2015-08-28","0.00","81","89",
"MT000016597","LUQA, MT","2015-08-29","0.00","80","87","72"
"MT000016597","LUQA, MT","2015-08-30","0.00","81","89",
"MT000016597","LUQA, MT","2015-08-31","0.01","80",,
"MT000016597","LUQA, MT","2015-09-01","0.00","79","89",
"MT000016597","LUQA, MT","2015-09-02","0.00","81","91","74"
"MT000016597","LUQA, MT","2015-09-03","0.00","81","90","74"
"MT000016597","LUQA, MT","2015-09-04","0.00","83","94",
"MT000016597","LUQA, MT","2015-09-05","0.00","84","93",
"MT000016597","LUQA, MT","2015-09-06","0.00","83","93",
"MT000016597","LUQA, MT","2015-09-07","0.00","81","87",
"MT000016597","LUQA, MT","2015-09-08","0.00","80","88","73"
"MT000016597","LUQA, MT","2015-09-09","0.48","75","81","71"
"MT000016597","LUQA, MT","2015-09-10","0.12","76","83",
"MT000016597","LUQA, MT","2015-09-11","0.00","76","85","68"
"MT000016597","LUQA, MT","2015-09-12","0.00","77","85","69"
"MT000016597","LUQA, MT","2015-09-13","0.00","77","84",
"MT000016597","LUQA, MT","2015-09-14","0.00","79","85","74"
"MT000016597","LUQA, MT","2015-09-15","0.00","79","85","72"
"MT000016597","LUQA, MT","2015-09-16","0.00","79","86",
"MT000016597","LUQA, MT","2015-09-17","0.00","80","90","75"
"MT000016597","LUQA, MT","2015-09-18","0.01","82","93","71"
"MT000016597","LUQA, MT","2015-09-19","0.00","84","97","74"
"MT000016597","LUQA, MT","2015-09-20","0.00","78","85",
"MT000016597","LUQA, MT","2015-09-21","0.00","76","84","70"
"MT000016597","LUQA, MT","2015-09-22","0.00","75","83",
"MT000016597","LUQA, MT","2015-09-23","0.00","75","83","69"
"MT000016597","LUQA, MT","2015-09-24","0.00","75","82",
"MT000016597","LUQA, MT","2015-09-25","0.00","71",,"66"
"MT000016597","LUQA, MT","2015-09-26","0.00","71","81","65"
"MT000016597","LUQA, MT","2015-09-27","0.00","72","81","65"
"MT000016597","LUQA, MT","2015-09-28",,"72","80",
"MT000016597","LUQA, MT","2015-09-29","0.00","71","80","65"
"MT000016597","LUQA, MT","2015-09-30","0.00","71","80","64"
